Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Phone,URL,Languages,Devices_available,Accessibility,Clients,Public,lon,lat
Omak Community Library,Okanogan,North Central Regional Library,Library,30 S Ash St,Omak,Washington,98841,US,[+1] 509-826-1820,http://www.ncrl.org/omak.htm,"English, Russian, Spanish",Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-119.530057501861,48.4096440191102
Lake City Branch,King,Seattle Public Library,Library,12501 28th Ave. N.E.,Seattle,Washington,98125,US,[+1] 206-684-7518,http://www.spl.org/locations/lake-city-branch/lcy-computers-and-equipment,"Chinese, English, Spanish, Vietnamese, Language Line Services",Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.297739033473,47.7194683209442
Centralia Timberland Library,Lewis,Timberland Regional Library,Library,110 S Silver St,Centralia,Washington,98531-4218,US,[+1] 360-736-0183,http://www.trl.org/Locations/Pages/Locations.aspx,English,Wi-Fi,None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.957005033491,46.7162835904803
Issaquah Library,King,King County Library System,Library,10 W Sunset Way,Issaquah,Washington,98027-0040,US,[+1] 425-392-5430,http://www.kcls.org/issaquah/,"English, Language Line Services",Wi-Fi,Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.036601289128,47.5301898440594
Salkum Timberland Library,Lewis,Timberland Regional Library,Faith-based,2480 U.S. Highway 12,Salkum,Washington,98582-0120,US,[+1] 360-985-2148,http://www.trl.org/Locations/Pages/Locations.aspx,English,Wi-Fi,None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.629858658893,46.5317606965086
Capitol Hill Library,King,Seattle Public Library,Library,425 Harvard Ave. E.,Seattle,Washington,98122,US,[+1] 206-684-4715,http://www.spl.org/locations/capitol-hill-branch/cap-computers-and-equipment,"English, Language Line Services",Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.322038714704,47.6228001960147
Reardan Memorial Library,Lincoln,Reardan Memorial Library,Library,120 S Oak,Reardan,Washington,99209,US,[+1] 509-994-9997,http://communitiesconnect.org/none,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-117.881920510376,47.6692276773477
Lacey Timberland Library,Thurston,Timberland Regional Library,Library,500 College St SE,Lacey,Washington,98503-1240,US,[+1] 360-491-3860,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.823203901972,47.0438886193138
Moxee Library,Yakima,Yakima Valley Libraries,Library,255 W Seattle Ave,Moxee,Washington,98936,US,[+1] 509-575-8854,http://www.yvl.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.391574517777,46.5561062073005
Steilacoom Library,Pierce,Pierce County Library Sytem,Library,2950 Steilacoom Blvd,Steilacoom,Washington,98446-5309,US,[+1] 253-548-3313,http://www.piercecountylibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.579073943898,47.1768983474472
Covington Library,King,King County Library System,Library,27100 164th Ave SE,Covington,Washington,98042-8240,US,[+1] 253-630-8761,http://www.kcls.org/covington/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.122955797078,47.3592179024472
Westwood Heights Senior Housing,King,Digital Promise,Housing,9455 27th Ave SW,Seattle,Washington,98126,US,[+1] 206-770-6835,http://www.seattlehousing.org/housing/public/locations/westwood-heights/,English,"Computer, Wi-Fi",Blind/LV,On-site Residents,Limited Users,-122.367346795835,47.5182116545681
Marysville Library,Snohomish,Sno-Isle Libraries,Library,6120 Grove St,Marysville,Washington,98270-4127,US,[+1] 360-658-5000,http://www.sno-isle.org,"English, Japanese, Spanish","Computer, Wi-Fi, Adaptive Laptops","Deaf, Wheelchair accessible","Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.148136813898,48.0644482513837
La Conner Regional Library,Skagit,La Conner Regional Library,Library,614 Morris St,La Conner,Washington,98257,US,[+1] 360-466-3352,http://www.lclib.lib.wa.us/,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.489384557916,48.3921611988606
Anacortes Library,Skagit,Anacortes Library,Library,1220 10th St,Anacortes,Washington,98221-1988,US,[+1] 360-293-1910,http://library.cityofanacortes.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.616467753877,48.5142891304395
Cathlamet Public Library,Wahkiakum,Cathlamet Public Library,Library,100 Main St,Cathlamet,Washington,98612,US,[+1] 360-795-3254,http://www.townofcathlamet.com/parksrec.shtml,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-123.384595419792,46.201298671704
Camas Public Library,Clark,Camas Public Library,Library,625 NE 4th Ave,Camas,Washington,98607-2109,US,[+1] 360-834-4692,http://www.ci.camas.wa.us/library/,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.402123341413,45.5869059928651
Forks Library,Clallam,North Olympic Library System,Library,171 Forks Ave S,Forks,Washington,98331-1817,US,[+1] 360-374-6402,http://www.nols.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-124.385430000294,47.9501399997613
Upper Skagit Library,Skagit,Upper Skagit Library,Library,45770B Main Street,Concrete,Washington,98237,US,[+1] 360-853-7939,http://www.upperskagit.lib.wa.us/,English,"Computer, Wi-Fi",None,"Adults, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-121.749698602103,48.5388588607177
Mary L Goodrich Toppenish Library,Yakima,Yakima Valley Libraries,Library,1 S Elm St,Toppenish,Washington,98948-1574,US,[+1] 509-865-3600,http://www.yvl.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.315111674118,46.3787500464434
Miller Computer Lab,King,Associated Recreation Council - RecTech,Government/Public Community Center,330 19th Ave E,Seattle,Washington,98122,US,[+1] 206-684-4753,http://www.seattle.gov/parks/rectech/labs/miller/,English,"Computer, Wi-Fi",None,"Adults, Youth: Pre-teen, Youth: Teen",All Public,-122.307247841201,47.621052860281
Fremont Branch,King,Seattle Public Library,Library,731 N. 35th St.,Seattle,Washington,98103,US,[+1] 206-684-4084,http://www.spl.org/locations/fremont-branch/fre-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.349444053841,47.6504024770701
Tillicum Library,Pierce,Pierce County Library Sytem,Library,14916 Washington Ave Sw,Lakewood,Washington,98466,US,[+1] 253-548-3314,http://www.piercecountylibrary.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.553355610827,47.1238243392438
Lake Stevens Library,Snohomish,Sno-Isle Libraries,Library,1804 Main St,Lake Stevens,Washington,98258-0217,US,[+1] 425-334-1900,http://www.sno-isle.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.064194095684,48.0140052787602
Deming Public Library,Whatcom,Whatcom County Library System,Library,5044 Mt Baker Hwy,Deming,Washington,98244,US,[+1] 360-592-2422,http://www.wcls.org,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.214227989832,48.8244293254639
Clarkston Heights Library,Asotin,Asotin County Library,Library,2036 4th Avenue,Clarkston,Washington,99403,US,[+1] 509-758-4601,http://www.aclib.org/,English,"Computer, Wi-Fi",None,"Adults, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-117.081828273705,46.3927117603772
Sultan Library,Snohomish,Sno-Isle Libraries,Library,319 Main St,Sultan,Washington,98294-0580,US,[+1] 360-793-1695,http://www.sno-isle.org,"English, ASL","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-121.816746,47.862439
Monroe Library,Snohomish,Sno-Isle Libraries,Library,1070 Village Way,Monroe,Washington,98272-2035,US,[+1] 360-794-7851,http://www.sno-isle.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-121.984765974056,47.8488088151982
Woodinville Library,King,King County Library System,Library,17105 Avandale Rd NE,Woodinville,Washington,98072-9181,US,[+1] 425-788-0733,http://www.kcls.org/woodinville/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.081345523683,47.7516741365623
Coulee City Community Library,Grant,North Central Regional Library,Library,405 W Main St,Coulee City,Washington,99115,US,[+1] 509-632-8751,http://www.ncrl.org/couleecity.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-119.293751645442,47.611144982515
Fall City Library,King,King County Library System,Library,33415 SE 42nd Pl,Fall City,Washington,98024-0340,US,[+1] 425-222-5951,http://www.kcls.org/fallcity/,"English, Language Line Services","Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-121.893646666047,47.5688858403582
Northgate Branch,King,Seattle Public Library,Library,10548 Fifth Ave. N.E.,Seattle,Washington,98125,US,[+1] 206-386-1980,http://www.spl.org/locations/northgate-branch/nga-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.323130952582,47.7059508707021
Sedro Woolley Public Library,Skagit,Sedro Woolley Public Library,Library,802 Ball St,Sedro Woolley,Washington,98284-2008,US,[+1] 360-855-1166,http://www.youseemore.com/sedro-woolley/,English,"Computer, Wi-Fi","Blind/LV, Wheelchair accessible","Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.228708434649,48.5043418874833
Snoqualmie Library,King,King County Library System,Library,7824 Center Blvd SE,Snoqualmie,Washington,98065,US,[+1] 425-888-1223,http://www.kcls.org/snoqualmie/,"English, Language Line Services","Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Teen",All Public,-121.872593537341,47.5297653320836
Sunnyside Library,Yakima,Yakima Valley Libraries,Library,621 Grant Ave,Sunnyside,Washington,98944-2220,US,[+1] 509-576-0723,http://www.yvl.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",,-120.01191424516,46.3212743755509
Darrington Library,Snohomish,Sno-Isle Libraries,Library,1005 Cascade St,Darrington,Washington,98241-0025,US,[+1] 360-436-1600,http://www.sno-isle.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-121.603639471458,48.254258295429
International District - Chinatown Branch,King,Seattle Public Library,Library,713 Eighth Ave. S.,Seattle,Washington,98104,US,[+1] 206-386-1300,http://www.spl.org/locations/international-district--chinatown-branch/idc-comput...,"Chinese, English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.322527308055,47.5965363406851
North Bend Library,King,King County Library System,Library,115 E 4th St,North Bend,Washington,98045-8251,US,[+1] 425-888-0554,http://www.kcls.org/northbend/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-121.783030056443,47.4970749763186
Lake City Neighborhood Service Center,King,Lake City Neighborhood Service Center,Government/Public Community Center,12525 28th Ave NE,,,98125,US,[+1] 206-233-5061,http://www.seattle.gov/neighborhoods/nsc/lakecity.htm,,Computer,None,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, On-site Residents, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",All Public,-122.297786890581,47.7197633095933
Indian Trail Library,Spokane,Spokane Public Library,Library,3324 S Perry St,Spokane,,99203-4058,US,[+1] 509-444-5396,http://www.spokanelibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-117.390138719582,47.6240682400761
Neighborhood House Rainier Vista,King,Neighborhood House Rainier Vista,Human Services/Non-profit (non-residential),4410 29th Ave S,Seattle,,98108,US,[+1] 206-461-4568,http://www.nhwa.org,"Amharic, Oromo, Russian, Somali, Spanish, Tigrinya, Vietnamese, Cambodian",Computer,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.296003341956,47.5628244098807
Southwest Branch,King,Seattle Public Library,Library,9010 35th Ave. S.W.,Seattle,,98126,US,[+1] 206-684-7455,http://www.spl.org/locations/southwest-branch/swt-computers-and-equipment,"English, Spanish, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.376625698548,47.5226498161358
Neighborhood House High Point Center,King,Neighborhood House,Human Services/Non-profit (non-residential),6400 Sylvan Way SW,Seattle,,98126,US,[+1] 206-461-4568,http://www.nhwa.org/high-point/,"Amharic, Chinese, English, Oromo, Russian, Somali, Spanish, Vietnamese","Computer, Wi-Fi","None, Wheelchair accessible","Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, On-site Residents, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.329439999756,47.6035599998942
Tacoma Intel Computer Clubhouse,Pierce,Tacoma Intel Computer Clubhouse,Human Services/Non-profit (non-residential),1209 MLK Jr Way,Tacoma,,98405,US,[+1] 253-468-8157,http://www.cleverkids.org/,English,Computer,None,"Youth: Pre-teen, Youth: Teen",Limited Users,-122.451352229297,47.2505528216469
Peshastin Community Library,Chelan,North Central Regional Library,Library,8396 Main St,Peshastin,,98847,US,[+1] 509-548-7821,http://www.ncrl.org/peshastin.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.603901964167,47.569524358999
Lynnwood Library,Snohomish,Sno-Isle Libraries,Library,19200 44th Ave W,Lynnwood,,98036-5617,US,[+1] 425-778-2148,http://www.sno-isle.org,"English, Spanish, German, ASL","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.292460013161,47.8243382627809
South Bend Timberland Library,Pacific,Timberland Regional Library,Library,1st & Pacific,South Bend,,98586-0368,US,[+1] 360-875-5532,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-123.786969999665,46.6687000003049
Mabton Library,Yakima,Yakima Valley Libraries,Library,415 B St,Mabton,,98935,US,[+1] 509-894-4128,http://www.yvl.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-119.99680166613,46.2136693027169
Auburn Library,King,King County Library System,Library,1140 Auburn Way South,Auburn,,98002,US,[+1] 253-931-3018,http://www.kcls.org/auburn/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.218265945743,47.2977402485242
Camano Island Library Pilot Project,Island,Sno-Isle Libraries,Library,848 N. Sunrise Blvd,Camano Island,,98282-8770,US,[+1] 360-387-5150,http://www.sno-isle.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.456037065751,48.2411466113903
Delridge Computer Lab,King,Associated Recreation Council - RecTech,Government/Public Community Center,4501 Delridge Way SW,Seattle,,98106,US,[+1] 206-799-2030,http://www.seattle.gov/parks/rectech/labs/delridge/,English,Computer,None,"Adults, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.36347670545,47.562838499497
Bonney Lake Library,Pierce,Pierce County Library Sytem,Library,18501 90th St E,Bonney Lake,,98390-7185,US,[+1] 253-548-3308,http://www.piercecountylibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.182391989994,47.175846140673
Deer Park Library,Spokane,Spokane County Library District,Library,208 S Forest Ave,Deer Park,,99006,US,[+1] 509-893-8300,http://www.scld.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-117.460462075828,47.9523383194304
Denny Terrace,King,Full Life Care,Housing,100 Melrose Ave E,Seattle,,98102,US,[+1] 206-659-8993,http://www.fulllifecare.org/,English,"Computer, Wi-Fi",Wheelchair accessible,On-site Residents,Limited Users,-122.327830348573,47.6187352604423
Chelan Community Library,Chelan,North Central Regional Library,Library,417 S Bradley,Chelan,,98816,US,[+1] 509-682-5131,http://www.ncrl.org/chelan.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.012993366912,47.8369245350624
Helping Link,King,Helping Link,Human Services/Non-profit (non-residential),1032 S Jackson StSte C,Seattle,,98104,US,[+1] 206-568-5160,http://helpinglink.org,"English, Vietnamese","Computer, Wi-Fi",None,"Adults, Immigrants/Refugees, Low Income, Seniors, Youth: Teen",Limited Users,-122.329439999756,47.6035599998942
Winlock Timberland Library,Lewis,Timberland Regional Library,Library,322 NE First Street,Winlock,,98596-0248,US,[+1] 360-785-3461,http://www.trl.org/Locations/Pages/Locations.aspx,English,Adaptive Laptops,None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.936671362409,46.4923164323035
Kelso Public Library,Cowlitz,Kelso Public Library,Library,351 Three Rivers Dr,Kelso,,98626,US,[+1] 360-423-8110,http://library.kelso.gov,English,Adaptive Laptops,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.899656,46.140371
Summit Library,Pierce,Pierce County Library Sytem,Library,5107 112th St E,Tacoma,,98390-1512,US,[+1] 253-548-3321,http://www.piercecountylibrary.org,"English, Spanish",Adaptive Laptops,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.360151982306,47.1544512695959
Des Moines Library,King,King County Library System,Library,21620 11th Ave S,Des Moines,,98198-6317,US,[+1] 206-824-6066,http://www.kcls.org/desmoines/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.319815607504,47.4078846153451
Lake Hills Library,King,King County Library System,Library,15590 Lake Hills Blvd,Bellevue,,98007-5997,US,[+1] 425-747-3360,http://www.kcls.org/lakehills/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.131030383486,47.603360198733
University Branch,King,Seattle Public Library,Library,5009 Roosevelt Way N.E.,Seattle,,98105,US,[+1] 206-684-4063,http://www.spl.org/locations/university-branch/uni-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.317519481533,47.6654516394424
Renton Highlands Library,King,King County Library System,Library,2902 NE 12 St,Renton,,98056-3126,US,[+1] 425-430-6790,http://www.kcls.org/renton/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.180139188313,47.5031462634752
Lopez Island Library District,San Juan,Lopez Island Library District,Library,2225 Fisherman Bay Rd,Lopez Island,,98261,US,[+1] 360-468-2265,http://www.lopezlibrary.org/,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.909898545597,48.5216365914189
Queen Anne Branch,King,Seattle Public Library,Library,400 W. Garfield St.,Seattle,,98119,US,[+1] 206-386-4227,http://www.spl.org/locations/queen-anne-branch/qna-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.3624039746,47.6335749373845
International District Computer Lab,King,Associated Recreation Council - RecTech,Government/Public Community Center,719 8th Ave S,Seattle,,98104,US,[+1] 206-233-0042,http://www.seattle.gov/parks/rectech/labs/international_district/,English,"Computer, Wi-Fi",None,"Adults, Immigrants/Refugees, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.322528343194,47.5964882067456
Oak Harbor Library,Island,Sno-Isle Libraries,Library,1000 SE Regatta Dr,Oak Harbor,,98277-3091,US,[+1] 360-675-5115,http://www.sno-isle.org,"English, Spanish, French, Italian, Portuguese, Greek","Computer, Wi-Fi","Blind/LV, Wheelchair accessible","Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.635738767168,48.2905922185325
Twisp Community Library,Okanogan,North Central Regional Library,Library,201 N Methow Valley Hwy,Twisp,,98856,US,[+1] 509-997-4681,http://www.ncrl.org/twisp.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.122449915781,48.3661977718747
Fairwood Library,King,King County Library System,Library,17009 140th Ave SE,Renton,,98058-6928,US,[+1] 425-226-0522,http://www.kcls.org/fairwood/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.154063346072,47.4496807053745
Hillyard Library,Spokane,Spokane Public Library,Library,2111 W Wellesley Ave,Spokane,,99205-5012,US,[+1] 509-444-5381,http://www.spokanelibrary.org,"English, Russian, Vietnamese","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-117.441988154736,47.7006896135136
Tenino Timberland Library,Thurston,Timberland Regional Library,Library,172 Central Avenue W,Tenino,,98589-4017,US,[+1] 360-264-2369,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.851721403521,46.8567397050164
Langley Library,Island,Sno-Isle Libraries,Library,104 2nd St,Langley,,98260-0365,US,[+1] 360-221-4383,http://www.sno-isle.org,"English, Spanish, French, Italian, Portuguese, Greek","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.406251229528,48.0399417260853
Muckleshoot Library,King,King County Library System,Library,39917 Auburn Enumclaw Rd SE,Auburn,,98092,US,[+1] 253-931-6779,http://www.kcls.org/muckleshoot/,"English, Language Line Services","Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.112930995031,47.2439341078287
Kalispel Tribal Court,Pend Oreille,Kalispel Tribal Court,Justice Center,22 Camas Flat Road,Usk,,99119,US,[+1] 509-447-7139,http://www.kalispeltribe.com/tribal-court/,,Computer,None,Adults,Limited Users,-117.280719999628,48.3136499997478
East Wenatchee Community Library,Chelan,North Central Regional Library,Library,271 9th St NE,East Wenatchee,,98802-4438,US,[+1] 509-886-7404,http://www.ncrl.org/eastwenatchee.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.289229186115,47.4169273970674
New Futures The Heights at Burien,King,New Futures,Housing,13737 SW 12th AveBuilding 31,Burien,,98166,US,[+1] 206-241-4840,http://newfutures.org/our-programs/our-sites/the-heights-at-burien/,"English, Spanish",Computer,None,On-site Residents,Limited Users,-122.340359999714,47.4686200004128
Snohomish Library,Snohomish,Sno-Isle Libraries,Library,311 Maple Ave,Snohomish,,98290-2525,US,[+1] 360-568-2898,http://www.sno-isle.org,"Chinese, English, Korean, German, Norwegian, Swedish, Danish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.088717265769,47.9154832300134
Milton Edgewood Library,Pierce,Pierce County Library Sytem,Library,900 Meridian E.,Milton,,98354,US,[+1] 253-548-3325,http://www.piercecountylibrary.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.295602,47.24723
High Point Branch,King,Seattle Public Library,Library,3411 S.W. Raymond St.,Seattle,,98126,US,[+1] 206-684-7454,http://www.spl.org/locations/high-point-branch/hip-computers-and-equipment,"English, Somali, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.375782199175,47.5483003591076
